Anio,MES,OCUPACION,CCAA,CIFRAS_ABSOLUTAS
2020,3,Asalariados,Andalucia,325600
2020,3,Asalariados,Aragon,43044
2020,3,Asalariados,Canarias,233519
2020,3,Asalariados,Cantabria,21024
2020,3,Asalariados,Castilla - La Mancha,65930
2020,3,Asalariados,Castilla y Leon,76510
2020,3,Asalariados,Cataluna,378533
2020,3,Asalariados,Ceuta y Melilla,4792
2020,3,Asalariados,Comunidad Foral de Navarra,22272
2020,3,Asalariados,Comunidad Valenciana,204483
2020,3,Asalariados,Comunidad de Madrid,351561
2020,3,Asalariados,Extremadura,25200
2020,3,Asalariados,Galicia,88032
2020,3,Asalariados,Islas Baleares,82343
2020,3,Asalariados,La Rioja,8707
2020,3,Asalariados,Pais Vasco,80269
2020,3,Asalariados,Principado de Asturias,32710
2020,3,Asalariados,Region de Murcia,32891
2020,3,Autonomos,Andalucia,85383
2020,3,Autonomos,Aragon,13494
2020,3,Autonomos,Canarias,29240
2020,3,Autonomos,Cantabria,6829
2020,3,Autonomos,Castilla - La Mancha,19379
2020,3,Autonomos,Castilla y Leon,20706
2020,3,Autonomos,Cataluna,82682
2020,3,Autonomos,Comunidad Foral de Navarra,5824
2020,3,Autonomos,Comunidad Valenciana,50758
2020,3,Autonomos,Comunidad de Madrid,49300
2020,3,Autonomos,Extremadura,7366
2020,3,Autonomos,Galicia,27915
2020,3,Autonomos,Islas Baleares,16189
2020,3,Autonomos,Pais Vasco,20673
2020,3,Autonomos,Principado de Asturias,14238
2020,3,Autonomos,Region de Murcia,7577
2020,6,Asalariados,Andalucia,262483
2020,6,Asalariados,Aragon,35336
2020,6,Asalariados,Canarias,192409
2020,6,Asalariados,Cantabria,15196
2020,6,Asalariados,Castilla - La Mancha,55378
2020,6,Asalariados,Castilla y Leon,69157
2020,6,Asalariados,Cataluna,308193
2020,6,Asalariados,Ceuta y Melilla,3566
2020,6,Asalariados,Comunidad Foral de Navarra,15911
2020,6,Asalariados,Comunidad Valenciana,175399
2020,6,Asalariados,Comunidad de Madrid,293734
2020,6,Asalariados,Extremadura,17379
2020,6,Asalariados,Galicia,81682
2020,6,Asalariados,Islas Baleares,96402
2020,6,Asalariados,La Rioja,8337
2020,6,Asalariados,Pais Vasco,70788
2020,6,Asalariados,Principado de Asturias,30498
2020,6,Asalariados,Region de Murcia,30873
2020,6,Autonomos,Andalucia,84538
2020,6,Autonomos,Aragon,14068
2020,6,Autonomos,Canarias,32119
2020,6,Autonomos,Cantabria,5856
2020,6,Autonomos,Castilla - La Mancha,17516
