YEAR,MES,CCAA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2020,1,Andalucia,America,Argentina,1809,19904,11
2020,1,Andalucia,America,Bolivia,52,691,13
2020,1,Andalucia,America,Brasil,3144,27098,8
2020,1,Andalucia,America,Canada,1726,11506,6
2020,1,Andalucia,America,Chile,405,3757,9
2020,1,Andalucia,America,Colombia,1978,25909,13
2020,1,Andalucia,America,Costa Rica,144,1229,8
2020,1,Andalucia,America,Ecuador,202,2771,13
2020,1,Andalucia,America,El Salvador,55,546,9
2020,1,Andalucia,America,Estados Unidos de America,32581,240469,7
2020,1,Andalucia,America,Guatemala,65,694,10
2020,1,Andalucia,America,Honduras,37,234,6
2020,1,Andalucia,America,Mexico,1754,18568,10
2020,1,Andalucia,America,Nicaragua,311,4211,13
2020,1,Andalucia,America,Panama,192,2299,12
2020,1,Andalucia,America,Paraguay,210,1832,8
2020,1,Andalucia,America,Peru,391,4648,11
2020,1,Andalucia,America,Republica Dominicana,53,377,7
2020,1,Andalucia,America,Uruguay,255,2532,9
2020,1,Andalucia,America,Venezuela,433,8672,20
2020,1,Aragon,America,Argentina,122,1202,9
2020,1,Aragon,America,Brasil,180,1953,10
2020,1,Aragon,America,Canada,43,347,8
2020,1,Aragon,America,Chile,63,553,8
2020,1,Aragon,America,Colombia,472,6153,13
2020,1,Aragon,America,Ecuador,49,699,14
2020,1,Aragon,America,Estados Unidos de America,1688,17954,10
2020,1,Aragon,America,Mexico,219,2477,11
2020,1,Aragon,America,Nicaragua,201,3706,18
2020,1,Aragon,America,Panama,45,585,13
2020,1,Aragon,America,Peru,78,1129,14
2020,1,Aragon,America,Venezuela,80,1696,21
2020,1,Canarias,America,Argentina,397,4264,10
2020,1,Canarias,America,Brasil,460,3689,8
2020,1,Canarias,America,Canada,422,2992,7
2020,1,Canarias,America,Chile,86,903,10
2020,1,Canarias,America,Colombia,972,14984,15
2020,1,Canarias,America,Ecuador,62,1019,16
2020,1,Canarias,America,Estados Unidos de America,4332,42232,9
2020,1,Canarias,America,Mexico,173,1859,10
2020,1,Canarias,America,Panama,47,664,14
2020,1,Canarias,America,Peru,64,859,13
2020,1,Canarias,America,Uruguay,139,1723,12
2020,1,Canarias,America,Venezuela,785,14903,19
2020,1,Cantabria,America,Argentina,44,471,10
2020,1,Cantabria,America,Brasil,99,1396,14
2020,1,Cantabria,America,Chile,41,533,13
2020,1,Cantabria,America,Colombia,204,2938,14
2020,1,Cantabria,America,Estados Unidos de America,542,5203,9
2020,1,Cantabria,America,Mexico,161,2270,14
2020,1,Cantabria,America,Peru,73,840,11
2020,1,Cantabria,America,Venezuela,38,684,18
2020,1,Castilla - La Mancha,America,Argentina,201,1632,8
2020,1,Castilla - La Mancha,America,Bolivia,36,369,10
2020,1,Castilla - La Mancha,America,Brasil,312,2655,8
2020,1,Castilla - La Mancha,America,Canada,73,479,6
2020,1,Castilla - La Mancha,America,Chile,102,895,8
2020,1,Castilla - La Mancha,America,Colombia,854,11312,13
2020,1,Castilla - La Mancha,America,Ecuador,66,815,12
2020,1,Castilla - La Mancha,America,Estados Unidos de America,2203,22136,10
2020,1,Castilla - La Mancha,America,Mexico,331,3171,9
2020,1,Castilla - La Mancha,America,Nicaragua,48,617,12
2020,1,Castilla - La Mancha,America,Panama,49,540,11
2020,1,Castilla - La Mancha,America,Paraguay,39,404,10
2020,1,Castilla - La Mancha,America,Peru,230,3038,13
2020,1,Castilla - La Mancha,America,Republica Dominicana,30,309,10
2020,1,Castilla - La Mancha,America,Uruguay,35,249,7
2020,1,Castilla - La Mancha,America,Venezuela,166,2747,16
2020,1,Castilla y Leon,America,Argentina,229,2228,9
2020,1,Castilla y Leon,America,Bolivia,45,729,16
2020,1,Castilla y Leon,America,Brasil,940,8286,8
2020,1,Castilla y Leon,America,Canada,103,693,6
2020,1,Castilla y Leon,America,Chile,158,1388,8
2020,1,Castilla y Leon,America,Colombia,814,11707,14
2020,1,Castilla y Leon,America,Costa Rica,43,423,9
2020,1,Castilla y Leon,America,Ecuador,88,1386,15
2020,1,Castilla y Leon,America,El Salvador,40,520,13
2020,1,Castilla y Leon,America,Estados Unidos de America,2883,30349,10
2020,1,Castilla y Leon,America,Guatemala,41,422,10
